<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TSEClose>
geram18,d,20220422,000000,13100800,13100800,13100800,13100800,13100800
geram18,d,20220423,000000,13100800,13100800,13100800,13100800,13100800
geram18,d,20220424,000000,12925300,12925300,12925300,12925300,12925300
geram18,d,20220425,000000,12803000,12803000,12803000,12803000,12803000
geram18,d,20220426,000000,12913800,12913800,12913800,12913800,12913800
geram18,d,20220427,000000,12950700,12950700,12950700,12950700,12950700
geram18,d,20220428,000000,12909200,12909200,12909200,12909200,12909200
geram18,d,20220429,000000,12909200,12909200,12909200,12909200,12909200
geram18,d,20220430,000000,12879200,12879200,12879200,12879200,12879200
geram18,d,20220501,000000,12976100,12976100,12976100,12976100,12976100
geram18,d,20220502,000000,12966900,12966900,12966900,12966900,12966900
geram18,d,20220503,000000,12966900,12966900,12966900,12966900,12966900
geram18,d,20220504,000000,12966900,12966900,12966900,12966900,12966900
geram18,d,20220505,000000,13066200,13066200,13066200,13066200,13066200
geram18,d,20220506,000000,13066200,13066200,13066200,13066200,13066200
geram18,d,20220507,000000,13135400,13135400,13135400,13135400,13135400
geram18,d,20220508,000000,13133100,13133100,13133100,13133100,13133100
geram18,d,20220509,000000,13086900,13086900,13086900,13086900,13086900
geram18,d,20220510,000000,13202400,13202400,13202400,13202400,13202400
geram18,d,20220511,000000,13433200,13433200,13433200,13433200,13433200
geram18,d,20220512,000000,13943400,13943400,13943400,13943400,13943400
geram18,d,20220513,000000,13943400,13943400,13943400,13943400,13943400
geram18,d,20220514,000000,13562500,13562500,13562500,13562500,13562500
geram18,d,20220515,000000,13828000,13828000,13828000,13828000,13828000
geram18,d,20220516,000000,13728700,13728700,13728700,13728700,13728700
geram18,d,20220517,000000,13592500,13592500,13592500,13592500,13592500
geram18,d,20220518,000000,13516300,13516300,13516300,13516300,13516300
geram18,d,20220519,000000,13608700,13608700,13608700,13608700,13608700
geram18,d,20220520,000000,13617900,13617900,13617900,13617900,13617900
geram18,d,20220521,000000,13924900,13924900,13924900,13924900,13924900
geram18,d,20220522,000000,13791000,13791000,13791000,13791000,13791000
geram18,d,20220523,000000,13770200,13770200,13770200,13770200,13770200
geram18,d,20220524,000000,13795600,13795600,13795600,13795600,13795600
geram18,d,20220525,000000,13828000,13828000,13828000,13828000,13828000
geram18,d,20220526,000000,13885700,13885700,13885700,13885700,13885700
geram18,d,20220527,000000,13934200,13934200,13934200,13934200,13934200
geram18,d,20220528,000000,13885700,13885700,13885700,13885700,13885700
geram18,d,20220529,000000,14033400,14033400,14033400,14033400,14033400
geram18,d,20220530,000000,14213500,14213500,14213500,14213500,14213500
geram18,d,20220531,000000,14296600,14296600,14296600,14296600,14296600
geram18,d,20220601,000000,14421200,14421200,14421200,14421200,14421200
geram18,d,20220602,000000,14305800,14305800,14305800,14305800,14305800
geram18,d,20220603,000000,14352000,14352000,14352000,14352000,14352000
geram18,d,20220604,000000,14352000,14352000,14352000,14352000,14352000
geram18,d,20220605,000000,14352000,14352000,14352000,14352000,14352000
geram18,d,20220606,000000,14312800,14312800,14312800,14312800,14312800
geram18,d,20220607,000000,14428200,14428200,14428200,14428200,14428200
geram18,d,20220608,000000,14428200,14428200,14428200,14428200,14428200
geram18,d,20220609,000000,14642900,14642900,14642900,14642900,14642900
geram18,d,20220610,000000,14705200,14705200,14705200,14705200,14705200
geram18,d,20220611,000000,14832200,14832200,14832200,14832200,14832200
geram18,d,20220612,000000,15130000,15130000,15130000,15130000,15130000
geram18,d,20220613,000000,14739800,14739800,14739800,14739800,14739800
geram18,d,20220614,000000,14578200,14578200,14578200,14578200,14578200
geram18,d,20220615,000000,14294300,14294300,14294300,14294300,14294300
geram18,d,20220616,000000,14158100,14158100,14158100,14158100,14158100
geram18,d,20220617,000000,14158100,14158100,14158100,14158100,14158100
geram18,d,20220618,000000,14469700,14469700,14469700,14469700,14469700
geram18,d,20220619,000000,14310400,14310400,14310400,14310400,14310400
geram18,d,20220620,000000,14347400,14347400,14347400,14347400,14347400
geram18,d,20220621,000000,14430500,14430500,14430500,14430500,14430500
geram18,d,20220622,000000,14472000,14472000,14472000,14472000,14472000
geram18,d,20220623,000000,14421200,14421200,14421200,14421200,14421200
geram18,d,20220624,000000,14506700,14506700,14506700,14506700,14506700
geram18,d,20220625,000000,14185800,14185800,14185800,14185800,14185800
geram18,d,20220626,000000,13952600,13952600,13952600,13952600,13952600
geram18,d,20220627,000000,13557900,13557900,13557900,13557900,13557900
geram18,d,20220628,000000,13594800,13594800,13594800,13594800,13594800
geram18,d,20220629,000000,13832600,13832600,13832600,13832600,13832600
geram18,d,20220630,000000,14400500,14400500,14400500,14400500,14400500
geram18,d,20220701,000000,14356600,14356600,14356600,14356600,14356600
geram18,d,20220702,000000,14578200,14578200,14578200,14578200,14578200
geram18,d,20220703,000000,14280400,14280400,14280400,14280400,14280400
geram18,d,20220704,000000,14243500,14243500,14243500,14243500,14243500
geram18,d,20220705,000000,13724100,13724100,13724100,13724100,13724100
geram18,d,20220706,000000,13814100,13814100,13814100,13814100,13814100
geram18,d,20220707,000000,13647900,13647900,13647900,13647900,13647900
geram18,d,20220708,000000,13659400,13659400,13659400,13659400,13659400
geram18,d,20220709,000000,13659400,13659400,13659400,13659400,13659400
geram18,d,20220710,000000,13659400,13659400,13659400,13659400,13659400
geram18,d,20220711,000000,13927200,13927200,13927200,13927200,13927200
geram18,d,20220712,000000,13788700,13788700,13788700,13788700,13788700
geram18,d,20220713,000000,13874100,13874100,13874100,13874100,13874100
geram18,d,20220714,000000,13731000,13731000,13731000,13731000,13731000
geram18,d,20220715,000000,13731000,13731000,13731000,13731000,13731000
geram18,d,20220716,000000,13698700,13698700,13698700,13698700,13698700
geram18,d,20220717,000000,13599400,13599400,13599400,13599400,13599400
geram18,d,20220718,000000,13659400,13659400,13659400,13659400,13659400
geram18,d,20220719,000000,13440100,13440100,13440100,13440100,13440100
geram18,d,20220720,000000,13495500,13495500,13495500,13495500,13495500
geram18,d,20220721,000000,13585600,13585600,13585600,13585600,13585600
geram18,d,20220722,000000,13585600,13585600,13585600,13585600,13585600
geram18,d,20220723,000000,13562500,13562500,13562500,13562500,13562500
geram18,d,20220724,000000,13481700,13481700,13481700,13481700,13481700
geram18,d,20220725,000000,13458600,13458600,13458600,13458600,13458600
geram18,d,20220726,000000,13550900,13550900,13550900,13550900,13550900
geram18,d,20220727,000000,13504800,13504800,13504800,13504800,13504800
geram18,d,20220728,000000,13712500,13712500,13712500,13712500,13712500
geram18,d,20220729,000000,13747200,13747200,13747200,13747200,13747200
geram18,d,20220730,000000,13758700,13758700,13758700,13758700,13758700
geram18,d,20220731,000000,13684800,13684800,13684800,13684800,13684800
geram18,d,20220801,000000,13597100,13597100,13597100,13597100,13597100
geram18,d,20220802,000000,13701000,13701000,13701000,13701000,13701000
geram18,d,20220803,000000,13562500,13562500,13562500,13562500,13562500
geram18,d,20220804,000000,13770200,13770200,13770200,13770200,13770200
geram18,d,20220805,000000,13781800,13781800,13781800,13781800,13781800
geram18,d,20220806,000000,13677900,13677900,13677900,13677900,13677900
geram18,d,20220807,000000,13677900,13677900,13677900,13677900,13677900
geram18,d,20220808,000000,13677900,13677900,13677900,13677900,13677900
geram18,d,20220809,000000,13791000,13791000,13791000,13791000,13791000
geram18,d,20220810,000000,13604000,13604000,13604000,13604000,13604000
geram18,d,20220811,000000,13627100,13627100,13627100,13627100,13627100
geram18,d,20220812,000000,13661800,13661800,13661800,13661800,13661800
geram18,d,20220813,000000,13320100,13320100,13320100,13320100,13320100
geram18,d,20220814,000000,13225400,13225400,13225400,13225400,13225400
geram18,d,20220815,000000,13008400,13008400,13008400,13008400,13008400
geram18,d,20220816,000000,13026900,13026900,13026900,13026900,13026900
geram18,d,20220817,000000,12869900,12869900,12869900,12869900,12869900
geram18,d,20220818,000000,12853800,12853800,12853800,12853800,12853800
geram18,d,20220819,000000,12853800,12853800,12853800,12853800,12853800
geram18,d,20220820,000000,12004200,12004200,12004200,12004200,12004200
geram18,d,20220821,000000,12339000,12339000,12339000,12339000,12339000
geram18,d,20220822,000000,12373600,12373600,12373600,12373600,12373600
geram18,d,20220823,000000,12500600,12500600,12500600,12500600,12500600
geram18,d,20220824,000000,12454400,12454400,12454400,12454400,12454400
geram18,d,20220825,000000,12789100,12789100,12789100,12789100,12789100
geram18,d,20220826,000000,12789100,12789100,12789100,12789100,12789100
geram18,d,20220827,000000,12738400,12738400,12738400,12738400,12738400
